2.535000,0.985804,1.003094,-0.085293
6.393000,1.485807,1.003132,-0.027071
12.534000,1.997518,0.998450,-0.029946
19.239000,2.510638,1.003388,-3.111814
23.751000,2.014332,0.998380,-3.139830
28.662000,1.496235,0.999748,-3.111600
32.445000,1.014395,0.999741,-3.117366
38.901000,0.488371,0.995600,0.029904
43.275000,0.985635,1.001866,0.025305
48.453000,1.502172,1.001741,0.029968
52.299000,1.985532,0.998815,-0.023861
58.908000,2.508727,1.001261,-3.111739
64.446000,1.994043,0.998289,-3.111838
68.913000,1.497009,0.999346,-3.112097
74.124000,0.995960,0.999893,3.111828
80.238000,0.492687,0.999307,0.029402
84.480000,0.985557,1.000753,-0.003753
88.344000,1.485741,1.002592,-0.017218
92.202000,1.985860,1.002374,-0.007747
99.207000,2.507897,1.003478,-3.111822
